[ 1039170ms] [LOG] [Fast Refresh] rebuilding @ http://localhost:3000/_next/static/chunks/node_modules_next_dist_f3530cac._.js:2297
[ 1039177ms] [LOG] [Fast Refresh] done in 113ms @ http://localhost:3000/_next/static/chunks/node_modules_next_dist_f3530cac._.js:2297
[ 1046102ms] [WARNING] [GV Walkie] RTC remote subscribe failed {stage: rtc-subscribe, uid: spectator-69eb111fc3da7957489d2da0-3dc4d966287c4357b2739f9a-15d6, message: AgoraRTCError UNEXPECTED_RESPONSE: ERR_SUBSCRIBE_REQUEST_INVALID: no such stream id} @ http://localhost:3000/_next/static/chunks/node_modules_next_dist_f3530cac._.js:2297
[ 1046103ms] [WARNING] [GV Walkie] RTC remote subscribe failed {stage: rtc-subscribe, uid: spectator-69eb111fc3da7957489d2da0-3dc4d966287c4357b2739f9a-15d6, message: AgoraRTCError UNEXPECTED_RESPONSE: ERR_SUBSCRIBE_REQUEST_INVALID: no such stream id} @ http://localhost:3000/_next/static/chunks/node_modules_next_dist_f3530cac._.js:2297
[ 1046105ms] [WARNING] [GV Walkie] RTC remote subscribe failed {stage: rtc-subscribe, uid: spectator-69eb111fc3da7957489d2da0-3dc4d966287c4357b2739f9a-15d6, message: AgoraRTCError UNEXPECTED_RESPONSE: ERR_SUBSCRIBE_REQUEST_INVALID: no such stream id} @ http://localhost:3000/_next/static/chunks/node_modules_next_dist_f3530cac._.js:2297
[ 1046107ms] [WARNING] [GV Walkie] RTC remote subscribe failed {stage: rtc-subscribe, uid: spectator-69eb111fc3da7957489d2da0-3dc4d966287c4357b2739f9a-15d6, message: AgoraRTCError UNEXPECTED_RESPONSE: ERR_SUBSCRIBE_REQUEST_INVALID: no such stream id} @ http://localhost:3000/_next/static/chunks/node_modules_next_dist_f3530cac._.js:2297
[ 1046123ms] [WARNING] [GV Walkie] RTC remote subscribe failed {stage: rtc-subscribe, uid: spectator-69eb111fc3da7957489d2da0-3dc4d966287c4357b2739f9a-15d6, message: AgoraRTCError UNEXPECTED_RESPONSE: ERR_SUBSCRIBE_REQUEST_INVALID: no such stream id} @ http://localhost:3000/_next/static/chunks/node_modules_next_dist_f3530cac._.js:2297
[ 1046127ms] [WARNING] [GV Walkie] RTC remote subscribe failed {stage: rtc-subscribe, uid: spectator-69eb111fc3da7957489d2da0-3dc4d966287c4357b2739f9a-15d6, message: AgoraRTCError UNEXPECTED_RESPONSE: ERR_SUBSCRIBE_REQUEST_INVALID: no such stream id} @ http://localhost:3000/_next/static/chunks/node_modules_next_dist_f3530cac._.js:2297
[ 1046129ms] [WARNING] [GV Walkie] RTC remote subscribe failed {stage: rtc-subscribe, uid: spectator-69eb111fc3da7957489d2da0-3dc4d966287c4357b2739f9a-15d6, message: AgoraRTCError UNEXPECTED_RESPONSE: ERR_SUBSCRIBE_REQUEST_INVALID: no such stream id} @ http://localhost:3000/_next/static/chunks/node_modules_next_dist_f3530cac._.js:2297
[ 1046367ms] [WARNING] [GV Walkie] RTC remote subscribe failed {stage: rtc-subscribe, uid: spectator-69eb111fc3da7957489d2da0-3dc4d966287c4357b2739f9a-15d6, message: AgoraRTCError UNEXPECTED_RESPONSE: ERR_SUBSCRIBE_REQUEST_INVALID: no such stream id} @ http://localhost:3000/_next/static/chunks/node_modules_next_dist_f3530cac._.js:2297
[ 1046373ms] [WARNING] [GV Walkie] RTC remote subscribe failed {stage: rtc-subscribe, uid: spectator-69eb111fc3da7957489d2da0-3dc4d966287c4357b2739f9a-15d6, message: AgoraRTCError UNEXPECTED_RESPONSE: ERR_SUBSCRIBE_REQUEST_INVALID: no such stream id} @ http://localhost:3000/_next/static/chunks/node_modules_next_dist_f3530cac._.js:2297
[ 1046379ms] [WARNING] [GV Walkie] RTC remote subscribe failed {stage: rtc-subscribe, uid: spectator-69eb111fc3da7957489d2da0-3dc4d966287c4357b2739f9a-15d6, message: AgoraRTCError UNEXPECTED_RESPONSE: ERR_SUBSCRIBE_REQUEST_INVALID: no such stream id} @ http://localhost:3000/_next/static/chunks/node_modules_next_dist_f3530cac._.js:2297
[ 1046381ms] [WARNING] [GV Walkie] RTC remote subscribe failed {stage: rtc-subscribe, uid: spectator-69eb111fc3da7957489d2da0-3dc4d966287c4357b2739f9a-15d6, message: AgoraRTCError UNEXPECTED_RESPONSE: ERR_SUBSCRIBE_REQUEST_INVALID: no such stream id} @ http://localhost:3000/_next/static/chunks/node_modules_next_dist_f3530cac._.js:2297
